Name,Variation,DIY,Buy,Sell,Color 1,Color 2,Size,Source,Source Notes,Seasonal Availability,Mannequin Piece,Version,Style,Label Themes,Villager Equippable,Catalog,Filename,Internal ID,Unique Entry ID
academy uniform,Navy blue,No,2080,520,Blue,White,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Elegant,formal; party,Yes,For sale,TopsTexOnepieceBoxLYosoiki0,2699,yfbZu5Nj6wtJSnuDW
academy uniform,Gray,No,2080,520,Gray,White,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Elegant,formal; party,Yes,For sale,TopsTexOnepieceBoxLYosoiki1,9016,zbKRm5Cv5dyiz3y35
academy uniform,Red,No,2080,520,Red,White,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Elegant,formal; party,Yes,For sale,TopsTexOnepieceBoxLYosoiki2,9017,3FSAsaikyEjHkLWcM
adventure dress,Blue,No,2800,700,Light blue,White,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cute,fairy tale,Yes,For sale,TopsTexOnepieceBalloonHStrangeBlue,3686,AQZFR4Bzob9Phsr9R
alpinist dress,Green,No,2520,630,Green,White,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cute,everyday; formal,Yes,For sale,TopsTexOnepieceBalloonHTyrolean0,3168,rN77JmGnpSNNeQogP
alpinist dress,Blue,No,2520,630,Blue,White,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cute,everyday; formal,Yes,For sale,TopsTexOnepieceBalloonHTyrolean1,8615,zkWYtfW3WeDbdSQuy
alpinist dress,Red,No,2520,630,Red,White,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cute,everyday; formal,Yes,For sale,TopsTexOnepieceBalloonHTyrolean2,8616,TkEkCuYTjTEu38axs
alpinist overalls,Green,No,2520,630,Green,White,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Elegant,everyday; formal,Yes,For sale,TopsTexOnepieceOverallHTyrolean0,4443,vzaWMkA2s7R6SefHa
alpinist overalls,Blue,No,2520,630,Blue,Light blue,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Elegant,everyday; formal,Yes,For sale,TopsTexOnepieceOverallHTyrolean1,8631,onM7CM229PHZyRjPd
alpinist overalls,Red,No,2520,630,Red,Pink,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Elegant,everyday; formal,Yes,For sale,TopsTexOnepieceOverallHTyrolean2,8632,WWbNFkaxwJMGLSBYj
ancient belted robe,Blue,No,3640,910,Light blue,Blue,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Elegant,formal,Yes,For sale,TopsTexOnepieceKimonoLKanpukumen0,5518,W2KoH5jp8b43CHbsK
ancient belted robe,Green,No,3640,910,Green,Green,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Elegant,formal,Yes,For sale,TopsTexOnepieceKimonoLKanpukumen1,9158,Ta6QSCmpE9nybMPxA
ancient belted robe,Beige,No,3640,910,Beige,Brown,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Elegant,formal,Yes,For sale,TopsTexOnepieceKimonoLKanpukumen2,9159,DFxZQJWvqjzGxpEWw
