Name,Variation,DIY,Buy,Sell,Color 1,Color 2,Size,Source,Seasonal Availability,Mannequin Piece,Version,Style,Label Themes,Villager Equippable,Catalog,Filename,Internal ID,Unique Entry ID
3D glasses,White,No,490,122,White,Colorful,1x1,Able Sisters,All Year,No,1.0.0,Active,party,Yes,For sale,AccessoryGlassThreed0,4463,FNxEraBTeWRiCvtFu
3D glasses,Black,No,490,122,Black,Colorful,1x1,Able Sisters,All Year,No,1.0.0,Active,party,Yes,For sale,AccessoryGlassThreed1,11020,mM9SXPCcGPfPJAmtm
bandage,Beige,No,140,35,Beige,White,1x1,Able Sisters,All Year,Yes,1.0.0,Active,outdoorsy; comfy; sporty,No,For sale,AccessoryMouthBandageSkin,4677,2qFT5iPkk8bREvpkj
beak,Yellow,No,490,122,Yellow,Yellow,1x1,Able Sisters,All Year,Yes,1.0.0,Cute,fairy tale; party; theatrical,No,For sale,AccessoryMouthBeakYellow,3549,T5CpsJi4xBSachNL5
birthday shades,Yellow,No,NFS,620,Yellow,Red,1x1,Birthday,All Year,No,1.0.0,Gorgeous,party,Yes,Not for sale,AccessoryGlassBirthday0,4510,S6CiB9ZvzBTMhEnDz
birthday shades,Pink,No,NFS,620,Pink,Pink,1x1,Birthday,All Year,No,1.0.0,Gorgeous,party,Yes,Not for sale,AccessoryGlassBirthday1,11217,g3MPcmAKM4z5h8KYX
birthday shades,Red,No,NFS,620,Red,Pink,1x1,Birthday,All Year,No,1.0.0,Gorgeous,party,Yes,Not for sale,AccessoryGlassBirthday2,11218,ojXoAAj8Bs2XgRiWB
birthday shades,Blue,No,NFS,620,Light blue,Green,1x1,Birthday,All Year,No,1.0.0,Gorgeous,party,Yes,Not for sale,AccessoryGlassBirthday3,11219,Yr9mRJaZM44554oTS
bottom-rimmed glasses,Red,No,1100,275,Red,Red,1x1,Able Sisters,All Year,No,1.0.0,Simple,everyday; comfy; work,Yes,For sale,AccessoryGlassLoose0,4597,ZHqtvcoqqDpJLf9Pc
bottom-rimmed glasses,Purple,No,1100,275,Purple,Purple,1x1,Able Sisters,All Year,No,1.0.0,Simple,everyday; comfy; work,Yes,For sale,AccessoryGlassLoose1,11081,akRhFD3qeJEPM7WiD
bottom-rimmed glasses,Green,No,1100,275,Green,Green,1x1,Able Sisters,All Year,No,1.0.0,Simple,everyday; comfy; work,Yes,For sale,AccessoryGlassLoose2,11082,EtxJZDCgnqjWkETqK
bottom-rimmed glasses,Blue,No,1100,275,Blue,Blue,1x1,Able Sisters,All Year,No,1.0.0,Simple,everyday; comfy; work,Yes,For sale,AccessoryGlassLoose3,11083,LEbiXtkHoiEMEtjWK
bottom-rimmed glasses,Yellow,No,1100,275,Yellow,Yellow,1x1,Able Sisters,All Year,Yes,1.0.0,Simple,everyday; comfy; work,Yes,For sale,AccessoryGlassLoose4,11084,w7bEbAGSQTvur6D6f
bottom-rimmed glasses,Pink,No,1100,275,Pink,Pink,1x1,Able Sisters,All Year,Yes,1.0.0,Simple,everyday; comfy; work,Yes,For sale,AccessoryGlassLoose5,11085,zpzD4NjApEyazKyKt
bottom-rimmed glasses,Black,No,1100,275,Black,Black,1x1,Able Sisters,All Year,No,1.0.0,Simple,everyday; comfy; work,Yes,For sale,AccessoryGlassLoose6,11086,eT6KLntq43nCGFvB9
browline glasses,Black,No,1040,260,Black,Yellow,1x1,Able Sisters,All Year,Yes,1.0.0,Simple,everyday; formal,Yes,For sale,AccessoryGlassThurmont0,4238,gHxascFKEJNrLCtD9
browline glasses,Brown,No,1040,260,Brown,Yellow,1x1,Able Sisters,All Year,Yes,1.0.0,Simple,everyday; formal,Yes,For sale,AccessoryGlassThurmont1,11069,9iqmzMJiAeQMBN3pk
browline glasses,Green,No,1040,260,Green,Gray,1x1,Able Sisters,All Year,No,1.0.0,Simple,everyday; formal,Yes,For sale,AccessoryGlassThurmont2,11070,f6h8aqEufzizYBWiH
browline glasses,Gray,No,1040,260,Gray,Yellow,1x1,Able Sisters,All Year,No,1.0.0,Simple,everyday; formal,Yes,For sale,AccessoryGlassThurmont3,11071,R9rDoMEzPcBw75hLE
bubblegum,Pink,No,140,35,Pink,Pink,1x1,Able Sisters,All Year,No,1.0.0,Simple,comfy,No,For sale,AccessoryMouthBubblegum0,5738,4SLmXuCkS4eBjPbLn
bubblegum,Blue,No,140,35,Light blue,Light blue,1x1,Able Sisters,All Year,No,1.0.0,Simple,comfy,No,For sale,AccessoryMouthBubblegum1,11027,9wWYKTtMdo9pWqfsM
bubblegum,Yellow,No,140,35,Yellow,Yellow,1x1,Able Sisters,All Year,Yes,1.0.0,Simple,comfy,No,For sale,AccessoryMouthBubblegum2,11028,79zoWzHvMBJYcwuAy
bubblegum,Green,No,140,35,Green,Green,1x1,Able Sisters,All Year,No,1.0.0,Simple,comfy,No,For sale,AccessoryMouthBubblegum3,11029,F3PoMop5MGyaxtKjZ
bubblegum,White,No,140,35,White,White,1x1,Able Sisters,All Year,No,1.0.0,Simple,comfy,No,For sale,AccessoryMouthBubblegum4,11030,r9N2a2TYhvXBKiihn
bunny nose,Pink,No,560,140,Pink,Pink,1x1,Able Sisters,All Year,No,1.0.0,Cute,fairy tale; party; theatrical,No,For sale,AccessoryMouthRabbit0,4600,bxWYgcp2YKCdKe8Cr
